"Greenest option","Option la plus écologique"
"Delivered","Livré"
"today between ","aujourd'hui entre "
"tomorrow between ","demain entre "
" between "," entre "
" and "," et "
"on ","le "
"by ","par "
"by ordering within ","en commandant dans les "
"Your order may arrive in multiple parcels","Votre commande peut faire l'objet de plusieurs colis"
"Home delivery to","Livré à domicile vers"
"Home delivery","Livraison à domicile"
"starting from ","à partir de "
"Enter your address","Renseignez votre adresse"
"Country","Pays"
"Postcode","Code postal"
"No delivery option available for your postal code","Aucune option de livraison n'est disponible pour ce code postal"
